credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1095,147.22,10.62132735,13.26,717,2190.0,3596,33.0,3,0,0,1,0,0,0,0,0,0
1,0.1316,506.56,11.12732181,7.01,697,4650.0,14380,48.9,1,0,0,0,0,1,0,0,0,0
1,0.1311,506.18,11.35040654,8.24,697,3205.041667,10670,82.7,0,0,0,0,0,1,0,0,0,0
1,0.1411,684.58,11.1844214,23.62,687,2622.958333,30738,76.8,0,0,0,0,1,0,0,0,0,0
1,0.1189,198.99,10.81977828,9.77,697,4590.0,15377,50.6,1,0,0,0,0,1,0,0,0,0
1,0.1158,184.88,11.08214255,16.84,707,3749.958333,31983,58.3,0,0,0,0,1,0,0,0,0,0
1,0.1379,306.68,11.00209984,20.5,682,6810.0,18454,83.9,1,0,0,0,0,1,0,0,0,0
1,0.1095,327.14,11.35035948,3.81,777,9420.0,0,0.0,1,0,0,1,0,0,0,0,0,0
1,0.1126,558.68,11.08220409,4.41,762,6570.0,1878,7.2,0,0,0,0,0,1,0,0,0,0
1,0.1284,487.46,10.54534144,18.66,697,4921.958333,13168,76.6,1,0,0,0,0,1,0,0,0,0
1,0.1189,530.63,11.12726298,4.29,712,3059.958333,10601,75.7,2,0,0,0,1,0,0,0,0,0
1,0.1189,315.06,11.08214255,13.85,707,2190.0,10468,52.3,1,0,0,1,0,0,0,0,0,0
1,0.1189,563.79,10.71441777,19.44,722,3660.0,9583,38.5,3,0,0,0,0,1,0,0,0,0
1,0.08,156.69,11.08214255,3.77,752,4230.0,8946,44.1,1,0,0,1,0,0,0,0,0,0
1,0.1474,189.96,11.50962001,14.35,667,3330.0,18659,91.0,0,0,0,0,1,0,0,0,0,0
1,0.1158,330.14,11.03488966,24.62,727,9091.0,22607,57.4,0,0,0,0,0,1,0,0,0,0
1,0.16,351.58,10.49127422,20.2,662,4169.958333,25274,93.6,0,0,0,0,0,1,0,0,0,0
1,0.08,188.02,10.59663473,13.23,752,3960.0,11965,58.9,0,0,0,1,0,0,0,0,0,0
1,0.0932,319.47,10.07323033,10.08,747,3540.0,8596,29.7,0,0,0,0,0,1,0,0,0,0
1,0.1221,133.26,9.271999752,13.54,747,1289.958333,21,0.2,0,0,0,1,0,0,0,0,0,0
1,0.1411,444.98,11.06663836,19.03,687,4020.0,17902,94.7,0,0,0,0,0,1,0,0,0,0
1,0.1126,394.36,11.44518181,15.38,727,5370.0,79083,67.3,2,0,0,0,0,1,0,0,0,0
1,0.1189,596.96,11.3736634,19.71,717,3089.958333,25525,58.4,0,0,0,0,0,1,0,0,0,0
1,0.0768,155.96,10.30895266,7.72,777,8250.0,14263,21.0,0,0,0,0,0,1,0,0,0,0
1,0.0932,287.53,11.56171563,20.33,762,5340.0,18590,22.2,0,0,0,1,0,0,0,0,0,0
1,0.0963,449.32,11.59910316,13.06,762,7739.958333,46017,9.4,3,1,0,0,0,1,0,0,0,0
1,0.1158,165.07,10.77895629,0.38,747,3510.0,536,7.8,3,0,0,1,0,0,0,0,0,0
1,0.1284,201.71,10.46310334,24.27,687,1619.958333,6088,40.3,1,0,0,0,1,0,0,0,0,0
1,0.0768,187.15,10.73639668,16.43,777,3839.958333,6694,8.7,2,0,0,1,0,0,0,0,0,0
1,0.0963,465.37,11.23321156,15.41,747,5669.958333,5270,27.6,0,0,0,0,0,1,0,0,0,0
1,0.1726,465.2,10.81977828,16.08,662,3180.0,27431,83.1,1,0,0,0,0,1,0,0,0,0
1,0.1379,102.23,11.00209984,2.18,697,8766.0,5824,64.7,1,1,0,1,0,0,0,0,0,0
1,0.1347,542.77,11.60827201,21.82,687,5015.0,64362,47.7,0,0,0,0,0,1,0,0,0,0
1,0.0932,204.46,11.60823564,0.0,802,7260.0,3006,6.8,0,0,0,1,0,0,0,0,0,0
1,0.1221,666.3,11.00209984,23.44,717,4949.958333,44887,82.1,1,0,0,0,0,1,0,0,0,0
1,0.0932,159.74,10.20359214,1.56,782,7829.958333,1303,23.7,0,0,0,1,0,0,0,0,0,0
1,0.1095,376.21,10.64026877,20.42,737,3119.958333,5989,33.6,0,0,0,0,0,1,0,0,0,0
1,0.08,250.69,10.91508846,13.51,772,3089.958333,8507,13.0,2,0,0,0,1,0,0,0,0,0
1,0.0963,128.38,11.46163217,7.87,722,7890.0,5961,13.4,2,1,0,1,0,0,0,0,0,0
1,0.1316,607.87,10.71774556,18.82,692,1979.958333,17833,66.1,1,0,0,1,0,0,0,0,0,0
