credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.0894,381.26,11.08214255,10.14,752,3755.041667,700,5.1,3,0,0,1,0,0,0,0,0,0
1,0.1148,105.5,11.60823564,6.63,722,3990.0,20002,67.8,0,0,0,1,0,0,0,0,0,0
1,0.1287,524.68,10.62132735,22.04,707,3630.0,15556,81.4,0,0,0,0,0,1,0,0,0,0
1,0.0894,158.86,10.62175555,14.16,767,3630.0,4463,28.8,0,0,0,0,1,0,0,0,0,0
1,0.1253,214.19,10.97678203,18.22,697,7230.0,6917,73.6,0,0,0,1,0,0,0,0,0,0
1,0.1357,407.63,11.49276357,0.18,712,5970.041667,440,7.9,1,0,0,0,0,1,0,0,0,0
1,0.1114,104.98,10.30895266,5.04,732,2670.041667,6383,46.6,0,0,0,0,0,1,0,0,0,0
1,0.1148,197.82,11.22524339,11.9,707,4110.041667,18103,59.5,3,0,0,0,1,0,0,0,0,0
1,0.1183,139.17,9.287301413,0.0,747,2970.041667,0,0.0,2,0,0,1,0,0,0,0,0,0
1,0.1496,623.61,10.84349481,10.71,717,5400.0,18632,98.1,0,0,0,0,0,1,0,0,0,0
1,0.0894,317.72,11.48246626,7.62,737,4830.041667,20574,38.2,2,0,0,0,0,1,0,0,0,0
1,0.0774,187.32,11.40756495,15.89,762,8730.0,37397,29.0,0,0,0,0,0,1,0,0,0,0
1,0.1183,99.41,10.6454249,14.46,697,3090.041667,6297,76.8,1,0,0,0,0,1,0,0,0,0
1,0.1114,656.07,11.69524702,9.55,772,6120.0,26701,43.1,0,0,0,1,0,0,0,0,0,0
1,0.1183,430.75,11.33857208,12.87,717,2220.0,14331,37.8,1,0,0,0,0,1,0,0,0,0
1,0.1183,298.21,10.4341158,17.12,712,3030.041667,13533,42.3,1,0,0,0,0,1,0,0,0,0
1,0.1253,689.41,11.51372515,14.45,722,4291.0,13171,51.8,3,0,0,0,0,1,0,0,0,0
1,0.1322,338.01,10.49127422,8.3,687,2280.041667,8989,36.2,0,0,0,0,0,1,0,0,0,0
1,0.1357,285.34,10.98305293,21.34,677,6270.041667,55072,87.8,0,0,0,0,1,0,0,0,0,0
1,0.1461,172.38,10.49127422,16.57,742,5400.0,0,34.5,0,0,0,1,0,0,0,0,0,0
1,0.1114,65.61,10.08580911,21.45,712,4350.0,560,70.0,3,1,0,1,0,0,0,0,0,0
1,0.1183,99.41,10.77895629,23.93,712,5580.041667,0,0.0,2,0,0,1,0,0,0,0,0,0
1,0.0894,476.58,11.51292546,2.14,782,11010.04167,8057,17.4,2,0,0,0,1,0,0,0,0,0
1,0.1357,326.1,11.00209984,13.2,677,4050.0,9164,47.0,1,0,0,1,0,0,0,0,0,0
1,0.1148,412.11,11.08214255,1.63,732,3600.0,19898,36.4,2,0,0,0,1,0,0,0,0,0
1,0.1348,474.94,10.71441777,9.17,692,3540.041667,10163,61.6,1,0,0,0,0,1,0,0,0,0
1,0.0894,476.58,11.56171563,12.53,777,10800.04167,8118,5.9,0,0,0,0,0,1,0,0,0,0
1,0.1913,293.77,11.65268741,11.79,667,4410.0,17267,29.1,3,0,0,1,0,0,0,0,0,0
1,0.0894,142.98,10.1064284,13.86,762,2970.041667,4659,30.1,0,0,0,0,0,1,0,0,0,0
1,0.1322,212.95,10.30895266,5.28,772,11040.04167,14581,98.0,1,0,0,0,0,1,0,0,0,0
1,0.1114,590.47,11.15625052,10.7,752,4320.0,22093,23.7,0,0,0,0,0,1,0,0,0,0
1,0.1322,507.01,11.2009507,1.66,692,3602.0,17109,81.5,2,0,0,0,0,1,0,0,0,0
1,0.0859,120.12,10.1266311,5.33,792,7830.041667,2456,8.1,3,0,0,0,1,0,0,0,0,0
1,0.1218,296.37,10.80972795,12.68,707,3570.0,9943,61.8,3,0,0,0,0,1,0,0,0,0
1,0.1253,811.56,11.4065422,11.41,732,3961.0,7404,54.8,1,0,0,0,0,1,0,0,0,0
1,0.1253,560.57,10.40426284,17.38,717,2040.041667,0,0.0,1,1,0,0,0,1,0,0,0,0
1,0.1287,571.77,10.63103616,18.03,717,3120.041667,3629,82.5,0,0,0,1,0,0,0,0,0,0
1,0.1287,336.34,11.51292546,21.28,717,5670.041667,9470,31.4,1,0,0,0,0,1,0,0,0,0
