credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1166,138.82,11.13458902,8.51,672,4559.958333,20487,94.0,0,0,0,0,0,1,0,0,0,0
1,0.145,258.16,11.59910316,21.84,662,4950.0,44098,92.3,2,0,0,0,1,0,0,0,0,0
1,0.1229,133.42,10.20507253,23.52,712,1440.0,3573,30.8,0,0,0,0,0,1,0,0,0,0
1,0.0737,99.35,10.71973693,1.72,797,4559.958333,1397,3.0,0,0,0,1,0,0,0,0,0,0
1,0.1197,219.12,10.89673933,18.76,682,2820.0,22677,86.3,1,1,0,0,1,0,0,0,0,0
1,0.08,219.36,10.70324447,7.77,767,3870.0,6301,22.7,1,0,0,1,0,0,0,0,0,0
1,0.1071,244.52,11.28968191,13.02,702,3479.958333,8709,30.1,3,0,0,0,0,1,0,0,0,0
1,0.1379,306.68,10.77895629,16.64,692,3912.041667,14398,96.0,0,0,0,0,1,0,0,0,0,0
1,0.0737,93.14,10.59653473,6.39,782,3570.0,409,2.0,0,0,0,1,0,0,0,0,0,0
1,0.1134,213.85,10.54534144,12.95,687,5100.0,6236,67.8,2,0,0,0,1,0,0,0,0,0
1,0.0832,236.14,10.53677857,9.01,762,2881.0,4007,24.0,0,0,0,1,0,0,0,0,0,0
1,0.0945,233.67,10.63103616,16.52,727,3135.0,2185,15.4,0,0,0,0,0,1,0,0,0,0
1,0.0945,32.01,11.01862914,9.45,712,3119.958333,9332,97.2,0,0,0,1,0,0,0,0,0,0
1,0.0976,176.86,11.04132055,0.0,707,2669.958333,0,0.0,2,0,0,1,0,0,0,0,0,0
1,0.1039,243.38,10.30895266,10.24,702,10319.95833,10444,14.1,1,1,0,1,0,0,0,0,0,0
1,0.08,235.03,11.00209984,4.96,777,7859.958333,78935,26.2,7,0,0,1,0,0,0,0,0,0
1,0.0976,128.62,9.392661929,9.6,707,1320.0,3987,31.9,1,0,0,0,1,0,0,0,0,0
1,0.1008,80.77,11.08220409,1.55,697,4380.0,9743,62.9,1,0,0,1,0,0,0,0,0,0
1,0.0768,93.57,12.20607265,2.49,767,3870.0,3119,1.5,2,0,0,0,1,0,0,0,0,0
1,0.08,206.83,9.942708266,10.04,767,3449.958333,7797,72.2,0,0,0,0,1,0,0,0,0,0
1,0.1229,64.21,11.00209984,11.1,662,3059.958333,6317,45.4,0,0,0,1,0,0,0,0,0,0
1,0.1197,249.0,11.41861479,7.89,677,5249.958333,13068,30.6,3,1,0,0,0,1,0,0,0,0
1,0.1545,174.44,10.59663473,24.57,662,2435.0,1851,92.5,3,0,0,1,0,0,0,0,0,0
1,0.1103,245.65,11.35040654,21.91,717,5189.958333,63167,84.0,2,0,0,0,1,0,0,0,0,0
1,0.1103,245.65,11.25504424,21.11,717,5587.958333,68356,71.6,2,0,0,0,1,0,0,0,0,0
1,0.0832,204.65,10.59653473,5.43,742,2850.0,9830,19.0,5,0,0,0,0,1,0,0,0,0
1,0.1008,51.69,10.71441777,21.57,722,2309.958333,1949,48.7,0,0,0,1,0,0,0,0,0,0
1,0.1039,243.38,10.87804719,20.92,737,2279.958333,9754,39.0,0,0,0,0,1,0,0,0,0,0
1,0.0863,132.84,11.00209984,19.48,762,2580.0,0,0.0,2,0,0,0,1,0,0,0,0,0
1,0.1008,161.53,11.00209984,14.34,707,2970.0,9737,44.7,2,0,0,1,0,0,0,0,0,0
1,0.1071,114.11,10.08580911,17.4,697,1949.958333,4063,76.7,0,0,0,0,1,0,0,0,0,0
1,0.1134,39.48,9.798127037,21.13,697,2070.0,3918,72.6,1,0,0,0,1,0,0,0,0,0
1,0.0832,113.35,9.40261226,6.14,727,4110.958333,2877,70.2,0,0,0,0,0,1,0,0,0,0
1,0.1134,213.85,10.12647109,11.23,682,2460.0,2083,28.1,3,0,0,0,0,1,0,0,0,0
1,0.0863,126.52,9.873234509,11.01,727,2040.958333,6835,34.7,0,0,0,0,0,1,0,0,0,0
1,0.0863,189.77,10.50369674,18.77,757,2369.958333,0,0.0,1,0,0,0,1,0,0,0,0,0
1,0.1103,149.03,10.87804719,10.82,687,2100.0,2927,53.2,2,0,0,0,1,0,0,0,0,0
1,0.1253,401.6,11.10501738,17.36,697,4229.041667,20024,73.1,0,0,0,0,0,1,0,0,0,0
1,0.1039,233.65,11.05879518,8.96,707,4740.0,3565,70.0,2,0,0,1,0,0,0,0,0,0
1,0.0976,241.16,11.11988288,13.55,722,6630.0,41154,47.1,0,0,0,0,0,1,0,0,0,0
1,0.1134,246.75,10.40426284,3.96,682,1649.958333,8644,28.0,1,0,0,1,0,0,0,0,0,0
1,0.08,163.74,9.798127037,1.33,747,1440.0,139,5.0,0,0,0,1,0,0,0,0,0,0
1,0.0863,142.33,11.2771525,7.53,722,5761.0,20237,32.7,2,0,0,0,0,1,0,0,0,0
1,0.1292,201.94,10.37349118,4.76,662,1350.0,4378,71.2,0,0,0,1,0,0,0,0,0,0
1,0.1197,249.0,10.95080655,6.06,677,8939.958333,5450,40.7,0,0,0,1,0,0,0,0,0,0
1,0.0945,128.04,9.903487553,5.16,722,3180.0,3621,14.9,0,0,0,0,1,0,0,0,0,0
1,0.1039,243.38,10.81977828,6.86,702,3180.0,12742,61.6,1,0,0,1,0,0,0,0,0,0
1,0.1103,180.15,10.87804719,3.83,682,3930.0,3491,23.6,0,0,0,0,0,1,0,0,0,0
1,0.1103,196.52,10.4125917,8.4,687,3359.958333,7305,73.0,0,0,0,1,0,0,0,0,0,0
