credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.0932,319.47,10.6454249,24.37,757,3390.041667,1711,24.1,2,0,0,0,0,1,0,0,0,0
1,0.1284,228.61,10.87804719,11.59,707,2046.041667,7398,70.5,1,0,0,0,0,1,0,0,0,0
1,0.0963,192.57,10.34817337,22.46,732,2640.0,11049,28.3,0,0,0,0,1,0,0,0,0,0
1,0.16,351.58,11.62625415,17.94,662,4320.0,15206,38.0,2,1,0,0,1,0,0,0,0,0
1,0.1695,160.33,10.83958091,5.65,662,2611.0,1925,96.2,0,1,0,1,0,0,0,0,0,0
1,0.1316,303.94,10.4341158,21.46,717,5490.0,12439,55.8,0,0,0,0,1,0,0,0,0,0
1,0.08,125.35,10.95080655,12.21,767,3900.041667,60506,31.9,2,0,0,1,0,0,0,0,0,0
1,0.1189,90.38,9.809176873,10.55,727,2430.041667,7226,51.6,0,0,0,0,0,1,0,0,0,0
1,0.1284,168.09,10.49750477,11.59,707,1650.041667,4516,30.9,0,0,0,0,0,1,0,0,0,0
1,0.0963,320.95,10.30092049,7.38,777,5100.0,2770,9.1,0,1,0,0,1,0,0,0,0,0
1,0.1189,497.46,11.15625052,6.19,747,2700.041667,16476,43.1,0,0,0,0,0,1,0,0,0,0
1,0.1568,420.02,11.73610102,10.54,667,4860.041667,15187,87.3,0,1,0,0,1,0,0,0,0,0
1,0.0737,108.66,11.08214255,7.68,782,5340.041667,4991,7.7,0,0,0,0,0,1,0,0,0,0
1,0.0963,115.54,10.37349118,15.11,717,2753.958333,12811,41.5,1,0,0,0,1,0,0,0,0,0
1,0.1253,381.52,10.81977828,14.5,722,4680.041667,8775,48.0,0,0,0,0,1,0,0,0,0,0
1,0.1442,515.74,10.95954023,21.54,682,2280.0,4649,43.4,0,0,0,1,0,0,0,0,0,0
1,0.0963,481.42,12.15477935,9.64,772,8520.041667,12228,17.5,1,0,0,0,0,1,0,0,0,0
1,0.1537,69.7,11.06657586,15.45,667,4080.0,16181,96.3,1,1,0,0,0,1,0,0,0,0
1,0.1347,183.19,10.2606024,18.18,687,2730.041667,3647,66.3,0,0,0,0,0,1,0,0,0,0
1,0.1411,219.07,10.71441777,16.05,692,2970.0,8959,90.5,0,0,0,0,0,1,0,0,0,0
1,0.1568,525.03,10.92773543,22.3,677,3150.041667,28473,88.3,1,0,0,0,0,1,0,0,0,0
1,0.16,527.36,11.03488966,7.39,672,7800.041667,11307,50.0,3,0,0,0,0,1,0,0,0,0
1,0.1442,279.36,9.392661929,0.0,687,5193.0,0,0.0,0,1,0,1,0,0,0,0,0,0
1,0.0963,192.57,10.81977828,9.1,732,3660.0,1825,15.6,2,0,0,0,0,1,0,0,0,0
1,0.1442,206.3,9.980448594,18.39,677,1890.0,11297,85.6,1,0,0,0,0,1,0,0,0,0
