credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.074,136.66,11.35040654,2.39,782,6660.0,3779,9.5,0,0,0,1,0,0,0,0,0,0
1,0.0859,177.02,10.93310697,18.06,742,3180.0,7556,49.2,0,0,0,1,0,0,0,0,0,0
1,0.1565,559.78,12.05058774,19.45,682,10620.0,101022,93.2,1,0,0,0,0,1,0,0,0,0
1,0.0774,202.93,11.36261407,16.39,752,5580.0,17524,33.5,0,0,0,0,1,0,0,0,0,0
1,0.0859,189.67,10.62132735,13.23,747,2960.0,5672,17.1,2,0,0,0,0,1,0,0,0,0
1,0.1253,481.92,11.01862914,3.29,742,1860.0,400,18.2,3,0,0,1,0,0,0,0,0,0
1,0.0774,174.83,10.30895266,6.68,762,2965.041667,1251,7.3,1,0,0,1,0,0,0,0,0,0
1,0.1426,360.22,10.81977828,5.71,677,5565.0,7156,56.3,2,0,0,0,1,0,0,0,0,0
1,0.1218,499.5,11.03488966,20.69,727,7355.0,126,2.2,2,0,0,0,1,0,0,0,0,0
1,0.1357,509.53,11.22524339,12.62,702,3929.958333,6424,92.2,1,0,0,0,0,1,0,0,0,0
1,0.1357,203.82,10.54534144,4.83,697,2069.958333,1629,90.5,0,0,0,0,0,1,0,0,0,0
1,0.1148,560.47,10.42975336,18.11,742,5460.0,15762,28.6,0,0,0,0,0,1,0,0,0,0
1,0.0774,241.95,10.77895629,11.75,787,3421.041667,3415,7.3,2,0,0,0,0,1,0,0,0,0
1,0.1148,494.53,10.75790288,4.98,742,4500.0,13430,58.9,2,0,0,0,0,1,0,0,0,0
1,0.1496,190.55,10.858999,18.74,662,4080.0,10655,58.2,2,0,0,0,0,1,0,0,0,0
1,0.2017,745.01,11.08214255,15.93,662,1560.0,4569,95.2,0,0,0,0,1,0,0,0,0,0
1,0.1496,207.87,10.49127422,13.8,687,1319.958333,2439,78.7,3,0,0,1,0,0,0,0,0,0
1,0.1218,133.2,11.00209984,11.52,692,7619.958333,17883,73.6,1,1,0,0,0,1,0,0,0,0
1,0.0894,222.41,11.1124479,3.89,752,3300.0,5767,46.1,0,0,0,0,0,1,0,0,0,0
1,0.0894,222.41,11.91428215,1.24,727,3810.0,1330,10.1,0,0,0,1,0,0,0,0,0,0
1,0.1496,259.84,10.79957558,17.51,662,2340.0,9805,30.5,2,0,0,0,0,1,0,0,0,0
1,0.1218,279.72,10.46310334,24.69,702,2910.0,17411,64.0,1,0,0,0,0,1,0,0,0,0
